Legal Entity Domain,Bank Account
NIP,
NIP,ABF - Havnvik Bank - EUR A/c - 9298054946
NIP,ABF - Havnvik Bank - EUR A/c - 0913634829
NIP,ABF - Calder Bank - EUR A/c - 240-545462-030
NIP,ABF GP - Havnvik Bank - EUR A/c - 4933051952
NIP,ABF GP - Calder - EUR A/c - 240-582517-030
NIP,AGP NI Co-Invest - Calder_EUR_2804
NIP,AGP NI CO-Invest I SCSp - Calder_USD_0906
NIP,DKP NI Co-invest - Calder EUR 2305
NIP,Stanmore - Calder - CAD - 6935
NIP,Stanmore - Calder - DKK - 0392
NIP,Stanmore - Calder - EUR - 0402
NIP,Stanmore - Calder - USD - 3905
NIP,C5294-DKK-Calder-2022
NIP,C4019-DKK-HVK-1404
NIP,C5470-DKK-HVK-6600
NIP,C3731-EUR-Calder-9454
NIP,C0630-EUR-HVK-1414
NIP,C4158-EUR-HVK-2043
NIP,C2140-EUR-HVK-5960
NIP,C4261-USD-HVK-3002
NIP,C2221-USD-HVK-3238
NIP,C8076-EUR-Calder-4295
NIP,C5010-EUR-BQVR-9965
NIP,C2553-DKK-Calder-7573
NIP,C7105-DKK-HVK-1632
NIP,C7220-EUR-Calder-2152
NIP,C1321-EUR-HVK-2244
NIP,C5954-EUR-HVK-9912
NIP,C5332-USD-HVK-7104
NIP,C4531-DKK-Calder-2532
NIP,C0602-DKK-HVK-9452
NIP,C8205-EUR-Calder-8513
NIP,C2783-EUR-HVK-3523
NIP,C4252-USD-Calder-0200
NIP,C0479-USD-HVK-3551
NIP,C2099-DKK-Calder-1346
NIP,C5262-EUR-Calder-3180
NIP,C2409-EUR-HVK-2345
NIP,NI ABF II - Havnvik - DKK - 3215
NIP,NI ABF II - Havnvik - EUR - 8455
NIP,NI ABF II - Havnvik - EUR - 3972
NIP,NI ABF II - Calder - DKK - 4319
NIP,NI ABF II - Calder - EUR - 8102
NIP,NI ABF II - Calder - USD - 4407
NIP,NI ABF II GP - Calder - EUR - 7233
NIP,NI ABF II QFPF - Havnvik - DKK - 8002
NIP,NI ABF II QFPF - Havnvik - EUR - 00616
NIP,NI ABF II QFPF - Havnvik - EUR - 5512
NIP,NI ABF II QFPF - Calder - EUR - 0723
NIP,NI Co - Invest GP Sarl - Calder - EUR - 7621
NIP,NI ECF - Havnvik - EUR - 5849
NIP,NI ECF - Havnvik - EUR - 2763
NIP,NI ECF - Havnvik - USD - 9220
NIP,NI GCF II - Havnvik - EUR - 4406
NIP,NI GCF II - Havnvik - EUR - 5308
NIP,NI GCF II - Havnvik - GBP - 0304
NIP,NI GCF II - Havnvik - USD - 5340
NIP,NI GCF II - Calder - DKK - 1224
NIP,NI GCF II - Calder - EUR - 4241
NIP,NI GCF II - Calder - USD - 2621
NIP,NI GCF II EUR HedgeCo - Havnvik - EUR - 1932
NIP,NI GCF II EUR HedgeCo - Havnvik - GBP - 5025
NIP,NI GCF II EUR HedgeCo - Havnvik - USD - 1353
NIP,NI GCF II GP - Calder - EUR - 4222
NIP,NI GCF II Non-US Aggregator - Havnvik - EUR - 3452
NIP,NI GCF II Non-US Aggregator - Havnvik - GBP - 3965
NIP,NI GCF II Non-US Aggregator - Havnvik - USD - 0349
NIP,NI GCF II Non-US Aggregator - Calder - DKK - 1081
NIP,NI GCF II Non-US Aggregator - Calder - EUR - 5476
NIP,NI GCF II Non-US Aggregator - Calder - USD - 7350
NIP,NI GCF II USD - Havnvik - EUR - 2481
NIP,NI GCF II USD - Havnvik - GBP - 4116
NIP,NI GCF II USD - Havnvik - USD - 0190
NIP,NI GCF II USD - Havnvik - USD - 5487
NIP,NI GCF II USD - Calder - DKK - 4927
NIP,NI GCF II USD - Calder - EUR - 5041
NIP,NI GCF II USD - Calder - USD - 9071
NIP,NI GCF II USD Blocked SCSp - Havnvik - EUR - 4838
NIP,NI GCF II USD Blocked SCSp - Havnvik - USD - 1240
NIP,NI GCF II USD Blocked SCSp - Havnvik - USD - 6852
NIP,NI GCF II USD Blocked SCSp - Calder - DKK - 43145
NIP,NI GCF II USD Blocked SCSp - Calder - EUR - 16204
NIP,NI GCF II USD HedgeCo - Havnvik - EUR - 0920
NIP,NI GCF II USD HedgeCo - Havnvik - GBP - 4511
NIP,NI GCF II USD HedgeCo - Havnvik - USD - 4215
NIP,NI GMF II - Havnvik - USD - 9231
NIP,NI GMF II - Havnvik - USD - 0047
NIP,NI GMF II - Calder - DKK - 2903
NIP,NI GMF II - Calder - EUR - 2425
NIP,NI GMF II - Calder - USD - 4373
NIP,NI GMF II Feeder Fund - Havnvik - USD - 5051
NIP,NI GMF II Feeder Fund - Havnvik - USD - 2181
NIP,NI GMF II Feeder Fund - Calder - EUR - 3315
NIP,NI GMF II Feeder Fund - Calder - USD - 8430
NIP,NI GMF II SICAV-RAIF - Access - Havnvik - USD - 5471
NIP,NI GMF II SICAV-RAIF - Access - Calder - EUR - 0136
NIP,NI GMF II SICAV-RAIF - Calder - EUR - 2551
NIP,NI GMF II SICAV-RAIF - NKP - Havnvik - USD - 3589
NIP,NI GMF II SICAV-RAIF - NKP - Calder - EUR - 2220
