Legal Entity,Deal Name,Deal Currency,Position,Issuer Name,Issuer Currency,Security Name,Security ID,Security Currency,Security Type,Secondary Security Identifier,,,,,,,
AGP NI Co-Invest I SCSp,NI V Agatestone Grove 2 Non-QFPF Inc - USD,USD,NI V Agatestone Grove 2 Non-QFPF Inc - USD (Agatestone Grove II (Equity)),NI V Agatestone Grove 2 Non-QFPF Inc - USD,USD,NI V Agatestone Grove 2 Non-QFPF Inc - USD (Agatestone Grove II (Equity)),16041,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Agatestone Grove Non-QFPF Inc.,USD,NI V Agatestone Grove Non-QFPF Inc. (Agatestone Grove Wind LLC (Agatestone Grove I (Equity))),NI V Agatestone Grove Non-QFPF Inc.,USD,NI V Agatestone Grove Non-QFPF Inc. (Agatestone Grove Wind LLC (Agatestone Grove I (Equity))),19997,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Agatestone Grove Non-QFPF Inc.,USD,NI V Agatestone Grove Non-QFPF Inc. (Agatestone Grove Wind LLC (Agatestone Grove I) (Funding Loan)),NI V Agatestone Grove Non-QFPF Inc.,USD,NI V Agatestone Grove Non-QFPF Inc. (Agatestone Grove Wind LLC (Agatestone Grove I) (Funding Loan)),19996,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Sponsor Investor K/S - USD,USD,NI V Sponsor Investor K/S - USD (NI V US B LP(Storage Portfolio II(Equity))),NI V Sponsor Investor K/S - USD,USD,NI V Sponsor Investor K/S - USD (NI V US B LP(Storage Portfolio II(Equity))),18386,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Sponsor Investor K/S - USD,USD,NI V Sponsor Investor K/S - USD (NI V US C LP(Storage Portfolio II(Equity))),NI V Sponsor Investor K/S - USD,USD,NI V Sponsor Investor K/S - USD (NI V US C LP(Storage Portfolio II(Equity))),18387,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Sponsor Investor K/S - USD,USD,NI V Sponsor Investor K/S - USD (NI V US D LP(Storage Portfolio II(Equity))),NI V Sponsor Investor K/S - USD,USD,NI V Sponsor Investor K/S - USD (NI V US D LP(Storage Portfolio II(Equity))),18388,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Sponsor Investor K/S - USD,USD,NI V Sponsor Investor K/S - USD (NI V US Sponsor Investor Inc.(Storage Portfolio II(Equity))),NI V Sponsor Investor K/S - USD,USD,NI V Sponsor Investor K/S - USD (NI V US Sponsor Investor Inc.(Storage Portfolio II(Equity))),18379,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Sponsor Investor K/S - USD,USD,NI V Sponsor Investor K/S - USD (Agatestone Grove I (Equity)),NI V Sponsor Investor K/S - USD,USD,NI V Sponsor Investor K/S - USD (Agatestone Grove I (Equity)),16032,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Sponsor Investor K/S - USD,USD,NI V Sponsor Investor K/S - USD (Agatestone Grove I (Funding Loan)),NI V Sponsor Investor K/S - USD,USD,NI V Sponsor Investor K/S - USD (Agatestone Grove I (Funding Loan)),16083,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Sponsor Investor K/S - USD,USD,NI V Sponsor Investor K/S - USD (Agatestone Grove II (Equity)),NI V Sponsor Investor K/S - USD,USD,NI V Sponsor Investor K/S - USD (Agatestone Grove II (Equity)),16040,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Sponsor Investor K/S - USD,USD,NI V Sponsor Investor K/S - USD (Agatestone Grove II (Funding Loan)),NI V Sponsor Investor K/S - USD,USD,NI V Sponsor Investor K/S - USD (Agatestone Grove II (Funding Loan)),16084,USD,Funding loan,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Sponsor Investor PD K/S - USD,USD,NI V Sponsor Investor PD K/S - USD (NI V US B LP(Storage Portfolio II(Equity))),NI V Sponsor Investor PD K/S - USD,USD,NI V Sponsor Investor PD K/S - USD (NI V US B LP(Storage Portfolio II(Equity))),18389,USD,Equity,,,,,,,,
AGP NI Co-Invest I SCSp,NI V Sponsor Investor PD K/S - USD,USD,NI V Sponsor Investor PD K/S - USD (NI V US C LP(Storage Portfolio II(Equity)),NI V Sponsor Investor PD K/S - USD,USD,NI V Sponsor Investor PD K/S - USD (NI V US C LP(Storage Portfolio II(Equity)),18390,USD,Equity,,,,,,,,
