Legal Entity,Investor,Vehicle
AGP NI Co-Invest I SCSp,Roskcombe Global Diversified Infrastructure Equity Fund II SCSp,AGP NI Co-Invest I SCSp - LP Interest
AGP NI Co-Invest I SCSp,Roskcombe Clangarth Infrastrukturfonds GmbH,AGP NI Co-Invest I SCSp - LP Interest
AGP NI Co-Invest I SCSp,VEM Infrastrukturfonds GmbH,AGP NI Co-Invest I SCSp - LP Interest
AGP NI Co-Invest I SCSp,Nordvik Infrastructure Co-Invest GP S.à r.l.,AGP NI Co-Invest I SCSp - GP Interest
DKP NI Co-Invest K/S,Yardvale Alderhurst,DKP NI Co-Invest K/S - LP Interest
Stanmore NI Co-Invest SCSp,Ferrdale Public Employees’ Retirement System,Stanmore NI Co-Invest SCSp - Class A
Stanmore NI Co-Invest SCSp,NIP Co-invest Blocker K/S,Stanmore NI Co-Invest SCSp - Class A
Stanmore NI Co-Invest SCSp,Nordvik Infrastructure Co-Invest GP S.à r.l.,Stanmore NI Co-Invest SCSp - GP
Stanmore NI Co-Invest SCSp,Nordvik Infrastructure Partners GP Interests Holding K/S,Stanmore NI Co-Invest SCSp - Class A
NI GCF I Direct Lending Non-US SCSp,Nordvik Infrastructure Green Credit Fund I Non-SRT AIV SCSp,NI GCF I Direct Lending Non-US SCSp - Ordinary Shares
NI GCF I Direct Lending Non-US SCSp,Nordvik Infrastructure Green Credit Fund I SCSp,NI GCF I Direct Lending Non-US SCSp - Ordinary Shares
NI GCF I Direct Lending US SCSp,Nordvik Infrastructure Green Credit Fund I Non-SRT AIV SCSp,NI GCF I Direct Lending US SCSp - Ordinary Shares
NI GCF I Direct Lending US SCSp,Nordvik Infrastructure Green Credit Fund I SCSp,NI GCF I Direct Lending US SCSp - Ordinary Shares
NI GCF I Velaris SCSp,NI GCF I Direct Lending Non - US SCSp,NI GCF I Velaris SCSp - Initial Limited Partner
NI GCF I Velaris SCSp,NI III GP II ApS,NI GCF I Velaris SCSp - Limited Partner
NI GCF I Velaris SCSp,Nordvik Infrastructure GCF I GP S.à r.l.,Nordvik Infrastructure GCF I Velaris SCSp - GP
NI GCF I Velaris SCSp,Fairley Drayford jerrshaw westdale,NI GCF I Velaris SCSp - Limited Partner
NI GCF I Velaris SCSp,"Hollmere B II - R Blocker, L.P.",NI GCF I Velaris SCSp - Limited Partner
NI NKP Co-Invest I SCSp,NI III GP II ApS,NI NKP Co-Invest I SCSp
NI NKP Co-Invest I SCSp,Nordvik Infrastructure Co-Invest GP S.à r.l.,NI NKP Co-Invest I SCSp - GP Interest
NI NKP Co-Invest I SCSp,Fairley Drayford jerrshaw westdale,NI NKP Co-Invest I SCSp
NI Regulated Energy Grids SCA SICAV-RAIF – Compartment A,Nordvik Infrastructure REG GP S.à r.l,NI Regulated Energy Grids SCA SICAV-RAIF - GP Interest
NI Regulated Energy Grids SCA SICAV-RAIF – Compartment A,Nordvik Infrastructure Regulated Energy Grids SCSp SICAV-RAIF,NI Regulated Energy Grids SCA SICAV-RAIF - LP Interest
NI V Co-Invest Vehicle A SCSp,Selmere LUQ-Fonden (Selgarth National Pension Fund - LUQ2),NI V Co-Invest Vehicle A SCSp
NI V Co-Invest Vehicle A SCSp,Lanfield to Trentholm Fairhurst LP,NI V Co-Invest Vehicle A SCSp
NI V Co-Invest Vehicle A SCSp,Lanfield to Trentholm Lammley LP,NI V Co-Invest Vehicle A SCSp
NI V Co-Invest Vehicle A SCSp,Lanfield to Trentholm Grenford Thurworth LP,NI V Co-Invest Vehicle A SCSp
