1,Ranfjord
2,Korea New Sites
3,Taiwan New Sites
4,Meadowfoam I - III
5,Korea New Sites II
6,Onshore Wind Korea
7,Korea NI V Mizar
8,Taiwan NI V Mizar
9,BRG Taiwan Geothermal
10,Ranfjord II
11,Njord
12,Nanna
13,Ostara
14,Sagalund
15,Eosmark I
16,Eosmark II
17,Eosmark III
18,Daphne I
19,Daphne II
20,Dryas I
21,Dryas II
22,Dryas III
23,Dryas IV
24,Skagfjord I
25,Skagfjord II
26,Kelstern
27,Taiwan BESS
28,Taiwan solar
29,Mulberryhill
30,Eastmere
31,Korea BESS
32,Taiwan New Sites (NI VI)
33,Korea New Sites (NI VI)
