Legal Entity Domain,Project Code,New Project Code
NIP,,
NIP,1 OH - DFSA,
NIP,ALDERWOOD,
NIP,ABF II Fundraising,
NIP,ASHGROVE Power,
NIP,Aspenmoor Bess,
NIP,Barnhill,
NIP,BICKFORD ABF I,
NIP,Bickford GMF II,
NIP,AD MIZAR,
NIP,Bramshaw Solar,
NIP,Bramshaw Dunsford,
NIP,Brentmoor,
NIP,BRIARFIELD,
NIP,CALDERBANK (PHASE II),
NIP,CATHCART AND STONECHAT,
NIP,Cedarhill,
NIP,Clyveden,
NIP,Craigmore,
NIP,Dunkeld,
NIP,EASTMERE,
NIP,ELDERFIELD SOUTH,
NIP,APAC Data Centre Mizar,
NIP,Elmwood,
NIP,ELPHINSTONE,
NIP,Farnborough,
NIP,Farnborough Bess,
NIP,Farnborough Gen,
NIP,Fernbank,
NIP,FENWICK,
NIP,Glencairn,
NIP,Gorsebank,
NIP,HALSTEAD,
NIP,AU Public Affairs,
NIP,Australia BD - New O,
NIP,AUSTRALIA NI V MIZAR,
NIP,Australia New Sites,
NIP,Australia New Sites - SA/WA/TAS,
NIP,Australia New Sites - Vic 2,
NIP,Australia New Sites - Vic 3,
NIP,Australian Solar Mizar,
NIP,Hawkridge,
NIP,Holloway,
NIP,Inverclyde I - PGN,
NIP,Kellsgate,
NIP,Kilbryde,
NIP,Larchmere,
NIP,Lindfield,
NIP,Marlowe,
NIP,Merevale II,
NIP,NETHERBY,
NIP,Oakhampton,
NIP,RAVENSCOURT,
NIP,BES-NL-1,
NIP,Rothbury,
NIP,Salcombe,
NIP,SHELDRAKE,
NIP,Skelmore,
NIP,Strathaven Energy Island,
NIP,BRG Taiwan Geothermal,
NIP,Thornhill,
NIP,British Columbia Business Development / Melia,
NIP,Wexcombe,
NIP,Whitburn,
NIP,WILLOWBANK,
NIP,WOLFERTON,
NIP,Yarmoor 1,
NIP,Yarmoor 2,
NIP,California North Floating,
NIP,Capital Energy,
NIP,CAPITAL ENERGY - SP,
NIP,ALVDAL PHES,
NIP,ALVDAL WIND,
NIP,Bergvik,
NIP,Fjordvik Wind,
NIP,Havsund,
NIP,Holmvik,
NIP,CEN (Hydro),
NIP,Kvarnby,
NIP,LINDESNES SEA,
NIP,CENTRAL ATLANTIC,
NIP,Myrdal,
NIP,CESN,
NIP,CFO transformation,
NIP,OSTERVIK,
NIP,Ravnsund,
NIP,Sandhamn,
NIP,Skagfjord I,
NIP,Skagfjord II,
NIP,NI Castalia Land Pty Ltd,
NIP,NI IV TO NI V TRANSF,
NIP,NI LandCo,
NIP,NI V – NI VI TRANSF,
NIP,NI V Datacenters (DPIN),
NIP,NI V SCSp (Zubenel Fund)_NI V Sponsor Investor US LP,
NIP,NI V US Overhead,
NIP,"CIO, Offshore Platform, Technology and Solutions",
NIP,NIP 2.0 - Solutions FA,
NIP,NIP Fund Solutions ApS,
NIP,NIP Mirfak Technologies ApS,
NIP,NIP Platform Holding Aps,
NIP,NIP Platform Solutions ApS,
NIP,NIP Vervainhill Technologies ApS,
NIP,NISC APS,
NIP,ULVIK,
NIP,Co-Inv,
NIP,Vestmark,
NIP,VINDHEM,
NIP,Aalvik Gardens,
NIP,Bruvik,
NIP,DALSVIK,
NIP,DE Public Affairs,
NIP,Enervik - Phase II,
NIP,FOSSVIK,
NIP,Galtvik Wind (NSW - 1&2),
NIP,DEUTSCHE FRIGG,
NIP,Deutsche Frigg Phase II,
NIP,DEVEX,
NIP,DEW 2.0,
NIP,DK OFW Re-tender (NI V),
NIP,DK Tealford Isfjell,
NIP,NVC FRAMEWORK BRACKEN,
NIP,Hovden I,
NIP,Loenvik,
NIP,Morvik,
NIP,Dutch GPs,
NIP,NAERVIK,
NIP,Osvik,
NIP,AEGIR to Methanol,
NIP,Bragi,
NIP,Brynhild,
NIP,Energy Management,
NIP,FORSETI,
NIP,Verhof,
NIP,ERP implementation,
NIP,ES Public Affairs,
NIP,"ESG, Risk Management and Compliance",
NIP,GEFION,
NIP,EU NI V COP MIZAR,
NIP,EU Mizar,
NIP,EU Offshore Mizar,
NIP,EU Offshore Mizar (France),
NIP,IDUNN,
NIP,Kvasir,
NIP,Kvasir Land Pty Ltd,
NIP,Kvasir Wind Land,
NIP,Modi,
NIP,Nanna,
NIP,Njord,
NIP,Ostara,
NIP,Ranfjord,
NIP,Ranfjord II,
NIP,Sagalund,
NIP,FIN DevCo Oy,
NIP,FLOATING STRATEGY,
NIP,Skadi,
NIP,Skirnir,
NIP,Snotra,
NIP,THRUDHEIM,
NIP,Fund Acc/Contr,
NIP,Fund Accounting & Controlling,
NIP,Tyrfing,
NIP,GAS MIZAR,
NIP,GCF MIZAR US,
NIP,Vidar,
NIP,German OFS Tender,
NIP,GIN CO,
NIP,Aether,
NIP,GLOBAL COMP. CENTRE,
NIP,Global Competence Centre,
NIP,Global Compliance,
NIP,Global ESG,
NIP,Global Finance Service,
NIP,Global IT Services,
NIP,Global Management Services,
NIP,Global People Services,
NIP,GLOBAL PROCUREMENT,
NIP,Global Risk,
NIP,GMF II Fundraising,
NIP,GMF II HedgeCo.,
NIP,GMF II Hedging Fund Costs,
NIP,AMPELOS,
NIP,Ampelos BESS,
NIP,Arete,
NIP,BOREAS,
NIP,GREEN2X,
NIP,Greenfish,
NIP,Cephalus,Halstead
NIP,Clio of Mexico Seabed Auction,
NIP,Daphne I,
NIP,Daphne II,
NIP,Dryas I,
NIP,Dryas II,
NIP,Dryas III,
NIP,Dryas IV,
NIP,Eosmark I,
NIP,Eosmark II,
NIP,Eosmark III,
NIP,Erato,
NIP,GALENE,
NIP,HELLESPONT,
NIP,Hesperus,
NIP,HYPERION,
NIP,Iapetus,
NIP,Kairos,
NIP,Hedge-Co and Co-invest,
NIP,Nereus Caribe,
NIP,Nereus Chrysos,
NIP,Notus,
NIP,OCEANUS,
NIP,Paean Bridge Wind,
NIP,PHOEBE,
NIP,Kurogane Partnership NI V,
NIP,Kurogane Partnership NMF I,
NIP,SELENE,
NIP,Tethys New Energy,
NIP,HV Strategy NI V,
NIP,HV Strategy NMF I,
NIP,Zephyr Ver,
NIP,Independent Energy Development,
NIP,India Nearshore,
NIP,Indonesia Origination,
NIP,Bellerophon II,
NIP,Bellerophon II and III,
NIP,Bellerophon III,
NIP,Bellerophon IV,
NIP,CASTALIA,
NIP,Castalia Land,
NIP,ALDEBARAN,
NIP,Japan Agrisolar Merak,
NIP,Japan BESS Mizar,
NIP,JAPAN NI V MIZAR,
NIP,Japan New Sites,
NIP,Japan Non-Offshore Mizar,
NIP,Japan Solar Platform,
NIP,ARCTURUS,
NIP,Auriga,
NIP,Bellatrix,
NIP,CANOPUS II,
NIP,Capella,
NIP,Carina Wind Farm,
NIP,CASSIOPE,
NIP,CEPHEUS,
NIP,Cygnus,
NIP,KO Public Affairs,
NIP,DRACONIS V,
NIP,Korea BESS,
NIP,KOREA NI V MIZAR,
NIP,Korea New Sites I,
NIP,KOREA NEW SITES II,
NIP,ELNATH SIFHOLM II,
NIP,La Carrowmore,
NIP,La Gerda Solar,
NIP,La Ullrvik,
NIP,La Dunlin,
NIP,La Icebound,
NIP,Hadar,
NIP,Lyra,
NIP,MIZAR,
NIP,Mizar APAC,
NIP,Mizar KIRKVIK,
NIP,MIZAR EU,
NIP,Mizar LATAM,
NIP,MIZAR MEA,
NIP,MIZAR Romania,
NIP,MizarCo,
NIP,LGF,
NIP,PAVO RENEWABLES,
NIP,PHECDA,
NIP,POLLUX,
NIP,RIGEL,
NIP,Sadr,
NIP,LIQUIDATION,
NIP,Shaula Sundvall,
NIP,Talitha Stenvik,
NIP,VEGAPOINT,
NIP,LSR WIND,
NIP,VELARIS,
NIP,Volans,
NIP,Malta Mizar,
NIP,MAN-FEES,
NIP,Alphard,
NIP,Market Public Affairs,
NIP,Ankaa,
NIP,Atria,
NIP,MEC,
NIP,Denebola,
NIP,Diphda Solar II,
NIP,GACRUX,
NIP,Kochab Wind Farm,
NIP,Menkar,
NIP,Mirach,
NIP,Avocet,
NIP,Chaffinch,
NIP,CURLEW,
NIP,GANNET,
NIP,BRAMBLING,
NIP,GODWIT,
NIP,Greenshank,
NIP,GUILLEMOT,
NIP,NMF II Fundraising,
NIP,NMF MGMT COST,
NIP,North Baltic Sea,
NIP,Knotley,
NIP,NS SITE I-III,
NIP,NSW Forestry,
NIP,Nuthatch,
NIP,NZ Offshore,
NIP,NZCE,
NIP,PIPIT (LEVANTER),
NIP,OFFSHORE MIZAR,
NIP,OFFSHORE MIZAR APAC,
NIP,OFW-BE-1,
NIP,OFW-DK-6(DK TENDER),
NIP,OFW-EE-2,
NIP,OFW-ES-1,
NIP,OFW-FI-1 (Greenfield),
NIP,OFW-FR-2,
NIP,OFW-LT-1,
NIP,OFW-LV-1,
NIP,OFW-MT-1,
NIP,OFW-NO-1 (Scabious Nord),
NIP,OFW-PL-1,
NIP,OFW-PT-1 (Jackdaw),
NIP,OFW-SE-1 (Greenfield),
NIP,OFW-XX-1 (New Market Screening NMF),
NIP,OH - ADMIN FEES,
NIP,OH - AGM CONSULTANCY,
NIP,OH - Ledgervue ADVISORY,
NIP,OH - Ledgervue SUBSCRIP,
NIP,OH - AMF FRANCE,
NIP,OH - AML,
NIP,OH - Planvex,
NIP,OH - AUDIT,
NIP,OH - Bank Fees,
NIP,OH - Marketwire,
NIP,OH - BOARD MEMBER FE,
NIP,OH - CAPITAL MARKET,
NIP,OH - CENTITY SUBSCRI,
NIP,OH - CF Fees,
NIP,OH - CIO office,
NIP,OH - Compliance,
NIP,OH - CONFERENCE,
NIP,OH – Credit Facility fee – Korea,
NIP,OH – Credit Facility fee – Non-US,
NIP,OH – Credit Facility fee – Taiwan,
NIP,OH – Credit Facility fee – US,
NIP,OH - DEPOSITARY,
NIP,OH - DFSA,
NIP,OH - DHW & MDM,
NIP,OH - DWH & MDM,
NIP,OH - EMEA FINANCE,
NIP,OH - EPRM,
NIP,OH - ESG,
NIP,OH - FINANCE ADVISOR,
NIP,OH - FINANCE ASSISTA,
NIP,OH - FP&A,
NIP,OH - FS BS FINANCE,
NIP,OH - FS COMPLIANCE,
NIP,OH - FS Entity MNG,
NIP,OH - FS ESG,
NIP,OH - FS FUND FINANCE/LUX,
NIP,OH - FS INV REPORTING,
NIP,OH - FS IT,
NIP,OH - FS PLFM EXCELLENCE,
NIP,OH - FS TAX ADVISORY,
NIP,OH - FS VALUATION,
NIP,OH - FSA,
NIP,OH - FUND ESTABLISH,
NIP,OH - FUND IMPLEMENTA,
NIP,OH - Fund implementation consultancy,
NIP,OH - GEMS,
NIP,OH - GFS Compliance,
NIP,OH - GFS EPRM,
NIP,OH - GFS Finance,
NIP,OH - GFS IT,
NIP,OH - GFS Legal,
NIP,OH - GFS Management,
NIP,OH - GFS People,
NIP,Oh - GFS Risk,
NIP,OH - GLOBAL PMO,
NIP,OH - GOVERNANCE,
NIP,OH – GP RECHARGE,
NIP,OH - WPEC,
NIP,OH - IC AND LPAC,
NIP,OH - INSURANCE,
NIP,OH - Interest Expense,
NIP,OH - Interest Income,
NIP,OH - IP COST,
NIP,OH - IR&BD,
NIP,OH - IT COSTS,
NIP,OH - LEGAL ADVISORY,
NIP,OH - LEGAL ASSISTANC,
NIP,OH - Management Fees,
NIP,OH - MEDIA,
NIP,OH - MEMBERSHIPS,
NIP,OH - NDA CONSULTANCY,
NIP,OH - PAYROLL TAX,
NIP,OH - PORTFOLIO TRANS,
NIP,OH - PROCUREMENT,
NIP,OH - PUBLIC AFFAIRS,
NIP,OH - RECRUITMENT,
NIP,OH - RISK ADVISORY,
NIP,OH - WHIRLWIND,
NIP,OH - STRATEGY,
NIP,OH - TAX ADVISORY,
NIP,OH - TAX ASSISTANC,
NIP,OH - TRANSACTIONS,
NIP,OH - TRAVEL COST,
NIP,OH-AMG,
NIP,OHP - NIP2.0 IT,
NIP,OHP - NIP2.0 Legal,
NIP,OHP - NIP2.0 Recruitment,
NIP,OHP - NIP2.0 Rent,
NIP,OHP - NIP2.0 Staff related,
NIP,OHP - CYBER SECURITY,
NIP,OHP - FINANCE MANUAL,
NIP,OHP - INTERNAL CONTR,
NIP,Onshore Wind Korea,
NIP,ONSHORE/SOLAR MIZAR,
NIP,TURNSTONE,
NIP,Wheatear,
NIP,Wigeon,
NIP,Woodcock (Phase I),
NIP,Woodcock (Phase II-III),
NIP,Woodcock BD,
NIP,Other Fund Services,
NIP,OVERHEAD,
NIP,Overheads (Draconis),
NIP,OVH NISC EU,
NIP,OVH Overhead,
NIP,Panama Offshore,
NIP,Adularia,
NIP,AGATESTONE GROVE I,
NIP,AGATESTONE GROVE II,
NIP,Partnerships,
NIP,Partnerships - BPP,
NIP,Partnerships - NISC/NIP,
NIP,Partnerships - COP,
NIP,Partnerships - NVC,
NIP,Partnerships - Peak Wind,
NIP,Partnerships - Nordholt,
NIP,Alabaster,
NIP,Amazonite,
NIP,Peak,
NIP,ANDESITE,
NIP,Azurite Array,
NIP,Basaltic II,
NIP,Berylhill,
NIP,PH Onshore WESCs,
NIP,Carnelian,
NIP,Celestine,
NIP,Chalcedon,
NIP,Chrysolite,
NIP,CITRINE,
NIP,Polish Portfolio,
NIP,CORUNDUM,
NIP,Dolomite,
NIP,Feldspar,
NIP,Project Hodur,
NIP,Project Mimir,
NIP,Project Calliope,
NIP,Project Maia,
NIP,Project Linnet,
NIP,Project Twitehill (NL Tender 2025),
NIP,Project Recycle - NI GMF II Coop,
NIP,PROJECT LOWENFORD,
NIP,Garnetfield,
NIP,GNEISS WIND,
NIP,Hematite,
NIP,Hematite Power Inc,
NIP,Public Funding,
NIP,Lazuli,
NIP,Moonstone,
NIP,Nordholt FWA,
NIP,OBSIDIAN,
NIP,Onyxvale,
NIP,RECYCLE - NI V Coop,
NIP,RECYCLE - NI V Master DevCo,
NIP,RECYCLE - US LPs,
NIP,Opaline Tornedal Gorsehill Wind,
NIP,REP Platform,
NIP,Peridot Biogas,
NIP,Pyritehill,
NIP,Quartzite,
NIP,Rhodolite,
NIP,SARDONYX,
NIP,Ravenscombe Solar,
NIP,SERPENTINE,
NIP,SLATEFIELD,
NIP,Spinelford,
NIP,Topazmoor Kittiwake,
NIP,Tourmaline Thetis,
NIP,Tourmaline Altair,
NIP,Tourmaline Dubhe,
NIP,Zirconvale,
NIP,Austerwind Alpheratz,
NIP,CLOUDBREAK,
NIP,DOWNDRAFT,
NIP,Firnwind Cravenhill,
NIP,Firnwind Cravenhill Phase 3 Expansion,
NIP,GALEFORCE,
NIP,Hailstone Framework NI V,
NIP,MISTRALPOINT,
NIP,Monsoonvale,
NIP,Nimbusfield,
NIP,Northgale II,
NIP,SEABREEZE,
NIP,SIROCCOHILL,
NIP,SNOWDRIFT,
NIP,Squallmoor Kalvik,
NIP,Stratusfield,
NIP,Tempestvale,
NIP,Thermalpoint,
NIP,SOT,
NIP,Tradewind Asia Mizar,
NIP,VORTEXMOOR,
NIP,Zondavale Offshore,
NIP,Bilberry,
NIP,Blackcurrant,
NIP,CLOUDBERRY,
NIP,Cloudberry North,
NIP,Comfrey Langholm,
NIP,Cowslip,
NIP,FOXGLOVE,
NIP,Heatherfield,
NIP,Juniperhill,
NIP,Supply Chain Environment NI V,
NIP,Supply Chain Environment NMF I,
NIP,Lavendermoor,
NIP,Marramfield,
NIP,Sweden SPV 1,
NIP,Sweden SPV 2,
NIP,Sweden SPV 3,
NIP,Sweden SPV 4,
NIP,Sweden SPV 5,
NIP,Sweden SPV 6,
NIP,Sydney,
NIP,Mulberryhill,
NIP,Rowanvale Energy,
NIP,Taiwan Bess,
NIP,TAIWAN NI V MIZAR,
NIP,Taiwan New Sites,
NIP,Taiwan Solar,
NIP,Speedwell,
NIP,Te Malachite,
NIP,Tansymoor,
NIP,THISTLEBANK (PHASE II),
NIP,Thistlebank PtX,
NIP,YARROWMOOR,
NIP,Yewtreehill Wind Portfolio,
NIP,BINDWEED,
NIP,BRAMBLEHILL,
NIP,Campion,
NIP,CELANDINE WEST,
NIP,CHERVILVALE  BIOGAS,
NIP,Chervilvale Biogas,
NIP,Eyebright Nightjar,
NIP,Knapweed,
NIP,UK Public Affairs,
NIP,Meadowfoam I-III,
NIP,Pennyroyal II,
NIP,Upper Thalia Hydro,
NIP,Ragwort,
NIP,US Battery Storage Portfolio - Ph1,
NIP,US Battery Storage Portfolio – Phase II,
NIP,US Data Centers,
NIP,US Mizar,
NIP,Sundewvale,
NIP,Valerian Investment Platform,
NIP,Aeroven CoC NI V,
NIP,Aeroven CoC NMF I,
NIP,VNS (Vietnam New Sites),
NIP,ASHWICK GREEN METALS,
NIP,Bexmoor,
NIP,Cardenhall,
NIP,Charnwood,
NIP,DEVEREL,
NIP,White Wryneck,
NIP,White Andesite,
NIP,Elmsworth Wind Farm,
NIP,Fallowfield,
NIP,Haverleigh,
NIP,JARROWDALE,
NIP,KELSTERN,
NIP,Kirtlington Wind Farm,
NIP,MARCHWOOD,
