Legal Entity Domain,Related Party
NIP,
NIP,ASHGROVE Qtd Holdco Pty Ltd.
NIP,AGP NI CO-Invest I SCSP
NIP,ADVOKATFIRMAET LAURITZEN AS
NIP,Anpartsselskabet af 20. Juni 2023
NIP,Lindfield S.r.l.
NIP,Penhurst Tormentil Limited
NIP,Sandwick Biogas Aps
NIP,Stanmore NI Co-Invest SCSp
NIP,WEXCOMBE S.R.L.
NIP,YARMOOR 1 BESS S.R.L.
NIP,YARMOOR 2 BESS S.R.L.
NIP,California North Floating LLC
NIP,California Offshore Holding LLC
NIP,Fjordvik Wind HoldCo LLC
NIP,Holmvik S.r.l.
NIP,Ravnsund S.R.L.
NIP,Sandhamn S.R.L.
NIP,NI ABF Vindhem HoldCo BV
NIP,NI ABF DevCo Aps
NIP,NI ABF I Netherby Hold Co B.V.
NIP,NI ABF I Ulvik Holdco SCSp
NIP,NI ABF I Feeder SCSp
NIP,NI ABF I FIN DevCo Holding SCSp
NIP,NI ABF I FIN DevCo Oy
NIP,NI ABF I GP S.a r.l.
NIP,NI ABF I Investment GP Sarl
NIP,NI ABF I Guillemot SCSp
NIP,NI ABF I Lapwing HoldCo Ltd
NIP,NI ABF I SCSp
NIP,NI ABF I SP Invest K/S
NIP,NI ABF I Sponsor Investor KS
NIP,NI ABF I Sponsor Investor US KS
NIP,NI ABF II Co-Invest SCSp
NIP,NI ABF II MizarCo S.à r.l.
NIP,NI ABF II QFPF Blocker SCSp
NIP,NI Australia Land Holdings Trust
NIP,NI ETF I Sponsor Investor US K/S
NIP,NI ETF NMF JV GP
NIP,NI Nanna SCSp
NIP,NI Njord Ltd
NIP,NI Njord SCSp
NIP,NI Ostara SCSp
NIP,NI Ranfjord II SCSp
NIP,NI Ranfjord SCSp
NIP,NI Sagalund SCSp
NIP,NI GCF I Direct Lending Non-US SCSp
NIP,NI GCF I Direct Lending US SCSp
NIP,NI GCF I Velaris SCSp
NIP,NI GCF II EUR HedgeCo SCSp
NIP,NI GCF II Non-US Aggregator SCSp
NIP,NI GCF II Sponsor Investor K/S
NIP,NI GCF II USD HedgeCo SCSp
NIP,NI GMF II Coöperatief U.A.
NIP,NI GMF II Dutch GP B.V.
NIP,NI GMF II Energy Chile Fondo de Ardvik
NIP,NI GMF II Feeder SCA SICAV-RAIF – Access Compartment
NIP,NI GMF II Feeder SCA SICAV-RAIF – NKP Compartment
NIP,NI GMF II Feeder SCSp
NIP,NI GMF II Skirnir ProjectCo SpA
NIP,NI GMF II GP S.a.r.l
NIP,NI GMF II HedgeCo SCSp
NIP,NI GMF II La Dunlin ProjectCo SpA
NIP,NI GMF II MizarCo
NIP,NI GMF II Amazonite ProjectCo SpA
NIP,NI GMF II Basaltic HoldCo B.V.
NIP,NI GMF II SCSp
NIP,NI GMF II Sponsor Investor K/S
NIP,NI Kairos HoldCo Pty Ltd
NIP,NI Italy TopCo I S.r.l
NIP,NI Italy Topco II S.R.L.
NIP,NI Italy TopCo III S.r.l
NIP,NI Italy TopCo IV S.r.l
NIP,NI Italy TopCo V S.r.l
NIP,NI IV
NIP,NI IV Fenwick HoldCo Ltd
NIP,NI IV Cooperatief U.A.
NIP,NI IV Kalvik Holdco Ltd
NIP,NI IV Irish Sea HoldCo I BV
NIP,NI IV Irish Sea HoldCo I Limited
NIP,NI IV IRISH SEA HOLDCO II LIMITED
NIP,NI IV Draconis I Holding ApS
NIP,NI IV Draconis II Holding ApS
NIP,NI IV Draconis III Holding ApS
NIP,NI IV Draconis IV Holding ApS
NIP,NI IV Draconis V Holding ApS
NIP,NI IV Offshore DevCo QFPF LLC
NIP,NI IV Serpentine HoldCo Ltd.
NIP,NI IV Serpentine Lender Ltd
NIP,NI IV Halcyon HoldCo Ltd
NIP,NI IV Westerly II HoldCo A Ltd
NIP,NI IV Dunsford HoldCo Ltd.
NIP,NI IV Garstang Wind QFPF US LLC
NIP,NI Bellatrix HoldCo Pty Ltd
NIP,NI NKP Co-Invest I SCSp
NIP,NI DRACONIS HOLDCO I SCSp
NIP,NI DRACONIS HOLDCO II SCSp
NIP,NI DRACONIS HOLDCO III SCSp
NIP,NI NMF (PH) Corp
NIP,NI NMF I Farnborough ProjectCo SpA
NIP,NI NMF I Merevale 15 HoldCo Coöperatief U.A.
NIP,NI NMF I Merevale 16 HoldCo Coöperatief U.A.
NIP,NI NMF I Merevale 17 HoldCo Coöperatief U.A.
NIP,NI NMF I Merevale 18 HoldCo Coöperatief U.A.
