Vendor,Most Used Project Code
Corveldt Luxembourg,OH - ADMIN FEES
CIG - Non LU,OH - FINANCE ASSISTA
NISC ApS - Non-LU,OH - TRANSACTIONS
Norbury - Non-LU,OH - LEGAL ASSISTANC
Trentbeck Tax and Consulting LUX - LU,OH - TAX ASSISTANC
Bramworth & Caldmere SA - LU,OH - LEGAL ASSISTANC
Corveldt (Luxembourg) S.A.R.L.,OH - ADMIN FEES
Trentbeck - LU,OH - AUDIT
Trentbeck - Non-LU,OH - AUDIT
Jerrholm- Non-Lu,OH - LEGAL ASSISTANC
Havnvik Bank - Non-LU,OVERHEAD
NISC Lux Sarl - LU,OH - FINANCE ASSISTA
NIP PLATFORM SOLUTIONS APS - Non-LU,OH - PUBLIC AFFAIRS
Havwick Ltd - Non-LU,OH - NDA CONSULTANCY
Ellingsen & Vandell - Non-LU,OH - LEGAL ASSISTANC
Garrfield - Non-LU,OH - LEGAL ASSISTANC
Rikke Fenger,OH - BOARD MEMBER FE
Administration des Contributions Directes - LU,OH - TAX ASSISTANC
Ellmont and Chalworth Luxembourg Sarl,OH - LEGAL ASSISTANC
Bregnholm,OVERHEAD
KOP Power Strouddale PTY LTD - Non -LU,Project Mimir
Credit Verrance Corp. and Inv. Bank - Non - LU,OH – Credit Facility fee – Non-US
NISC S.L - Non LU,OH - PUBLIC AFFAIRS
YARDFIELD PTY LTD - Non-Lu,OH - MEDIA
Grenhurst Danmark AS - Non - LU,OH - IC AND LPAC
Grenthorpe Stanworth & Umbshaw (UK) LLP - Non Lu,OH - LEGAL ASSISTANC
NISC GmbH - Non - LU,OH - PUBLIC AFFAIRS
Gustav Partner - Non-LU,OH - AGM CONSULTANCY
"FAH, XIR AND SEW LLC - Non-Lu",OH - TAX ASSISTANC
TAQ&C Innvale Cantshaw - Non - LU,OH - IT COSTS
OSVIK CONSULTING GROUP PTY LTD - Non-Lu,OH - PUBLIC AFFAIRS
Stanwold Davwold - Non-LU,OH - LEGAL ASSISTANC
Halddale Merrmere Tarnhurst Canada LLP - Non-LU,OH - LEGAL ASSISTANC
Ida Palsgaard,OH - BOARD MEMBER FE
NISC Pte Ltd Singapore - Non - LU,GMF II Fundraising
Norbury Advokatpartnerselskab,OH - LEGAL ASSISTANC
